,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob,words
33,34,13114,129.44,131.14000000000001, My denominator was looking like this.,"[51449, 1222, 20687, 390, 1237, 411, 341, 13, 51534]",0.0,-0.12613867654978672,1.6157205240174672,0.0008936052909120917,
34,35,16084,131.24,138.34, I'd like it to have a perfect square and then subtract a constant or add a constant.,"[50369, 286, 1116, 411, 309, 281, 362, 257, 2176, 3732, 293, 550, 16390, 257, 5754, 420, 909, 257, 5754, 13, 50724]",0.0,-0.092346472333568,1.844621513944223,0.13190831243991852,
35,36,16084,138.34,141.54000000000002, Right now I have something that I don't have a perfect square in here.,"[50724, 1779, 586, 286, 362, 746, 300, 286, 500, 380, 362, 257, 2176, 3732, 294, 510, 13, 50884]",0.0,-0.092346472333568,1.844621513944223,0.13190831243991852,
36,37,16084,141.54000000000002,146.64000000000001, I can't make this into a perfect square unless I add a certain amount to the constant right here.,"[50884, 286, 393, 380, 652, 341, 666, 257, 2176, 3732, 5969, 286, 909, 257, 1629, 2372, 281, 264, 5754, 558, 510, 13, 51139]",0.0,-0.092346472333568,1.844621513944223,0.13190831243991852,
37,38,16084,146.64000000000001,149.04000000000002, So I had to add 15 to the constant here.,"[51139, 407, 286, 632, 281, 909, 2119, 281, 264, 5754, 510, 13, 51259]",0.0,-0.092346472333568,1.844621513944223,0.13190831243991852,
38,39,16084,149.04000000000002,150.74, Notice 16 minus 15 is 1.,"[51259, 13428, 3165, 3175, 2119, 307, 502, 13, 51344]",0.0,-0.092346472333568,1.844621513944223,0.13190831243991852,
39,40,16084,150.74,153.64000000000001, That's my check also that the lines are equal.,"[51344, 663, 311, 452, 1520, 611, 300, 264, 3876, 366, 2681, 13, 51489]",0.0,-0.092346472333568,1.844621513944223,0.13190831243991852,
40,41,16084,153.64000000000001,157.84, And so what I've done is I've added 15 and subtracted 15.,"[51489, 400, 370, 437, 286, 600, 1096, 307, 286, 600, 3869, 2119, 293, 16390, 292, 2119, 13, 51699]",0.0,-0.092346472333568,1.844621513944223,0.13190831243991852,
41,42,16084,157.84,160.84, And then I put this plus 16 into here.,"[51699, 400, 550, 286, 829, 341, 1804, 3165, 666, 510, 13, 51849]",0.0,-0.092346472333568,1.844621513944223,0.13190831243991852,
42,43,18224,160.84,165.24, x minus 4 quantity squared is exactly these first three terms.,"[50364, 2031, 3175, 1017, 11275, 8889, 307, 2293, 613, 700, 1045, 2115, 13, 50584]",0.0,-0.11346341570218405,1.5203619909502262,0.0011915992945432663,
43,44,18224,165.24,167.04, And then I keep the minus 15.,"[50584, 400, 550, 286, 1066, 264, 3175, 2119, 13, 50674]",0.0,-0.11346341570218405,1.5203619909502262,0.0011915992945432663,
44,45,18224,167.04,170.54," Now you might say, why did you do this?","[50674, 823, 291, 1062, 584, 11, 983, 630, 291, 360, 341, 30, 50849]",0.0,-0.11346341570218405,1.5203619909502262,0.0011915992945432663,
45,46,18224,170.54,174.74, So let's make sure we understand why we're completing the square on this.,"[50849, 407, 718, 311, 652, 988, 321, 1223, 983, 321, 434, 19472, 264, 3732, 322, 341, 13, 51059]",0.0,-0.11346341570218405,1.5203619909502262,0.0011915992945432663,
46,47,18224,174.74,179.94," If we come back, I'm going to put this line in place of what's in the denominator there","[51059, 759, 321, 808, 646, 11, 286, 478, 516, 281, 829, 341, 1622, 294, 1081, 295, 437, 311, 294, 264, 20687, 456, 51319]",0.0,-0.11346341570218405,1.5203619909502262,0.0011915992945432663,
47,48,18224,179.94,182.24, because these three things are all equal.,"[51319, 570, 613, 1045, 721, 366, 439, 2681, 13, 51434]",0.0,-0.11346341570218405,1.5203619909502262,0.0011915992945432663,
48,49,21014,182.24,193.04000000000002, So this is actually the integral of dx over x minus 4 quantity squared minus 15.,"[50364, 407, 341, 307, 767, 264, 11573, 295, 30017, 670, 2031, 3175, 1017, 11275, 8889, 3175, 2119, 13, 50904]",0.0,-0.07650275208055973,1.5330739299610896,0.0001887294347397983,
49,50,21014,193.04000000000002,195.34," Now you might say, Christine, this looks no easier.","[50904, 823, 291, 1062, 584, 11, 24038, 11, 341, 1542, 572, 3571, 13, 51019]",0.0,-0.07650275208055973,1.5330739299610896,0.0001887294347397983,
50,51,21014,195.34,197.44, I don't know why you did this.,"[51019, 286, 500, 380, 458, 983, 291, 630, 341, 13, 51124]",0.0,-0.07650275208055973,1.5330739299610896,0.0001887294347397983,
51,52,21014,197.44,203.34, But it actually is one of our favorite or least favorite depending on how you feel about it.,"[51124, 583, 309, 767, 307, 472, 295, 527, 2954, 420, 1935, 2954, 5413, 322, 577, 291, 841, 466, 309, 13, 51419]",0.0,-0.07650275208055973,1.5330739299610896,0.0001887294347397983,
52,53,21014,203.34,207.14000000000001," Types of tricks we use now, which is the trig substitution.","[51419, 5569, 5190, 295, 11733, 321, 764, 586, 11, 597, 307, 264, 35386, 35827, 13, 51609]",0.0,-0.07650275208055973,1.5330739299610896,0.0001887294347397983,
53,54,21014,207.14000000000001,210.14000000000001, So some people love this because they just have to memorize a little formula.,"[51609, 407, 512, 561, 959, 341, 570, 436, 445, 362, 281, 27478, 257, 707, 8513, 13, 51759]",0.0,-0.07650275208055973,1.5330739299610896,0.0001887294347397983,
54,55,23464,210.14000000000001,214.84, And some people love it because they can draw a triangle and understand what they choose.,"[50364, 400, 512, 561, 959, 309, 570, 436, 393, 2642, 257, 13369, 293, 1223, 437, 436, 2826, 13, 50599]",0.0,-0.1153785048461542,1.603864734299517,0.00025815668050199747,
55,56,23464,214.84,219.34," I'm going to show you, remind you what the formula was you saw in class.","[50599, 286, 478, 516, 281, 855, 291, 11, 4160, 291, 437, 264, 8513, 390, 291, 1866, 294, 1508, 13, 50824]",0.0,-0.1153785048461542,1.603864734299517,0.00025815668050199747,
56,57,23464,219.34,222.94000000000003, I believe Professor Harrison said something like this.,"[50824, 286, 1697, 8419, 34272, 848, 746, 411, 341, 13, 51004]",0.0,-0.1153785048461542,1.603864734299517,0.00025815668050199747,
57,58,23464,222.94000000000003,227.94000000000003," If the denominator is in the form u squared minus a squared,","[51004, 759, 264, 20687, 307, 294, 264, 1254, 344, 8889, 3175, 257, 8889, 11, 51254]",0.0,-0.1153785048461542,1.603864734299517,0.00025815668050199747,
58,59,23464,227.94000000000003,234.64000000000001, this implies that you make u equal to a secant theta.,"[51254, 341, 18779, 300, 291, 652, 344, 2681, 281, 257, 907, 394, 9725, 13, 51589]",0.0,-0.1153785048461542,1.603864734299517,0.00025815668050199747,
59,60,26314,234.64000000000001,240.34," Now he probably wrote it as x, but I wrote it as u for a very specific reason","[50364, 823, 415, 1391, 4114, 309, 382, 2031, 11, 457, 286, 4114, 309, 382, 344, 337, 257, 588, 2685, 1778, 50649]",0.0,-0.08461209683008092,1.6398104265402844,0.0008155317627824843,
60,61,26314,240.34,243.74, because here I have x minus 4.,"[50649, 570, 510, 286, 362, 2031, 3175, 1017, 13, 50819]",0.0,-0.08461209683008092,1.6398104265402844,0.0008155317627824843,
61,62,26314,243.74,246.24, I have x minus 4 quantity squared.,"[50819, 286, 362, 2031, 3175, 1017, 11275, 8889, 13, 50944]",0.0,-0.08461209683008092,1.6398104265402844,0.0008155317627824843,
62,63,26314,246.24,248.44000000000003," Now this is where it gets a little rough, right?","[50944, 823, 341, 307, 689, 309, 2170, 257, 707, 5903, 11, 558, 30, 51054]",0.0,-0.08461209683008092,1.6398104265402844,0.0008155317627824843,
63,64,26314,248.44000000000003,256.84000000000003," This is not a perfect square, but it is the square root of 15.","[51054, 639, 307, 406, 257, 2176, 3732, 11, 457, 309, 307, 264, 3732, 5593, 295, 2119, 13, 51474]",0.0,-0.08461209683008092,1.6398104265402844,0.0008155317627824843,
64,65,26314,256.84000000000003,263.14, So I can write the denominator in the form something squared minus something else squared.,"[51474, 407, 286, 393, 2464, 264, 20687, 294, 264, 1254, 746, 8889, 3175, 746, 1646, 8889, 13, 51789]",0.0,-0.08461209683008092,1.6398104265402844,0.0008155317627824843,
65,66,29124,263.14,264.94," And again, you might say, why is this good?","[50364, 400, 797, 11, 291, 1062, 584, 11, 983, 307, 341, 665, 30, 50454]",0.0,-0.07786790826530368,1.603448275862069,0.0009491668315604329,
66,67,29124,264.94,268.44," Well, what we're going to be able to do is we're going to be able to rewrite this","[50454, 1042, 11, 437, 321, 434, 516, 281, 312, 1075, 281, 360, 307, 321, 434, 516, 281, 312, 1075, 281, 28132, 341, 50629]",0.0,-0.07786790826530368,1.603448275862069,0.0009491668315604329,
67,68,29124,268.44,272.74," in terms of trigonometric functions, which will make it much simpler to solve.","[50629, 294, 2115, 295, 35386, 266, 29470, 6828, 11, 597, 486, 652, 309, 709, 18587, 281, 5039, 13, 50844]",0.0,-0.07786790826530368,1.603448275862069,0.0009491668315604329,
68,69,29124,272.74,275.94, So let's use what Professor Harrison gave us.,"[50844, 407, 718, 311, 764, 437, 8419, 34272, 2729, 505, 13, 51004]",0.0,-0.07786790826530368,1.603448275862069,0.0009491668315604329,
69,70,29124,275.94,281.53999999999996," And so what we see is that this is u and this is a, right?","[51004, 400, 370, 437, 321, 536, 307, 300, 341, 307, 344, 293, 341, 307, 257, 11, 558, 30, 51284]",0.0,-0.07786790826530368,1.603448275862069,0.0009491668315604329,
70,71,29124,281.53999999999996,291.24, So I get x minus 4 is equal to square root of 15 secant theta.,"[51284, 407, 286, 483, 2031, 3175, 1017, 307, 2681, 281, 3732, 5593, 295, 2119, 907, 394, 9725, 13, 51769]",0.0,-0.07786790826530368,1.603448275862069,0.0009491668315604329,
71,72,31774,291.24,293.84000000000003," Now you might not like the square root of 15, but it's just hanging out","[50364, 823, 291, 1062, 406, 411, 264, 3732, 5593, 295, 2119, 11, 457, 309, 311, 445, 8345, 484, 50494]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
72,73,31774,293.84000000000003,295.04, is not causing any problems.,"[50494, 307, 406, 9853, 604, 2740, 13, 50554]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
73,74,31774,295.04,295.94, It's just a number there.,"[50554, 467, 311, 445, 257, 1230, 456, 13, 50599]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
74,75,31774,295.94,299.64," So we'll keep it a square root of 15, so you don't have to worry about it.","[50599, 407, 321, 603, 1066, 309, 257, 3732, 5593, 295, 2119, 11, 370, 291, 500, 380, 362, 281, 3292, 466, 309, 13, 50784]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
75,76,31774,299.64,300.64, Now what's the point again?,"[50784, 823, 437, 311, 264, 935, 797, 30, 50834]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
76,77,31774,300.64,305.34000000000003, Let me just remind you the object is to get this in terms of the trig functions.,"[50834, 961, 385, 445, 4160, 291, 264, 2657, 307, 281, 483, 341, 294, 2115, 295, 264, 35386, 6828, 13, 51069]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
77,78,31774,305.34000000000003,311.24, So we should anticipate that probably we'll have some tangent functions to go with this.,"[51069, 407, 321, 820, 21685, 300, 1391, 321, 603, 362, 512, 27747, 6828, 281, 352, 365, 341, 13, 51364]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
78,79,31774,311.24,313.64, And there are two reasons to think that.,"[51364, 400, 456, 366, 732, 4112, 281, 519, 300, 13, 51484]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
79,80,31774,313.64,317.74, The first reason to think that is at some point I have to find dx.,"[51484, 440, 700, 1778, 281, 519, 300, 307, 412, 512, 935, 286, 362, 281, 915, 30017, 13, 51689]",0.0,-0.08367891226341759,1.7422680412371134,0.0047938344068825245,
80,81,34634,317.74,321.44," Well the derivative of secant involves secant and tangent, right?","[50364, 1042, 264, 13760, 295, 907, 394, 11626, 907, 394, 293, 27747, 11, 558, 30, 50549]",0.0,-0.07659007477760314,1.813868613138686,0.0005942528368905187,
81,82,34634,321.44,324.04, So that's going to pull in a tangent function somewhere.,"[50549, 407, 300, 311, 516, 281, 2235, 294, 257, 27747, 2445, 4079, 13, 50679]",0.0,-0.07659007477760314,1.813868613138686,0.0005942528368905187,
82,83,34634,324.04,326.94, I'm also going to have a tangent function show up somewhere else.,"[50679, 286, 478, 611, 516, 281, 362, 257, 27747, 2445, 855, 493, 4079, 1646, 13, 50824]",0.0,-0.07659007477760314,1.813868613138686,0.0005942528368905187,
83,84,34634,326.94,331.74," And where that's going to be is coming from this denominator, this expression in the denominator.","[50824, 400, 689, 300, 311, 516, 281, 312, 307, 1348, 490, 341, 20687, 11, 341, 6114, 294, 264, 20687, 13, 51064]",0.0,-0.07659007477760314,1.813868613138686,0.0005942528368905187,
84,85,34634,331.74,335.54," Because there's a certain trig identity that we should have memorized,","[51064, 1436, 456, 311, 257, 1629, 35386, 6575, 300, 321, 820, 362, 46677, 11, 51254]",0.0,-0.07659007477760314,1.813868613138686,0.0005942528368905187,
85,86,34634,335.54,337.04, but I'll just remind you.,"[51254, 457, 286, 603, 445, 4160, 291, 13, 51329]",0.0,-0.07659007477760314,1.813868613138686,0.0005942528368905187,
86,87,34634,337.04,339.74, I'll write it here and put a star next to it.,"[51329, 286, 603, 2464, 309, 510, 293, 829, 257, 3543, 958, 281, 309, 13, 51464]",0.0,-0.07659007477760314,1.813868613138686,0.0005942528368905187,
87,88,34634,339.74,346.34000000000003, It's 1 plus tangent squared theta is equal to secant squared theta.,"[51464, 467, 311, 502, 1804, 27747, 8889, 9725, 307, 2681, 281, 907, 394, 8889, 9725, 13, 51794]",0.0,-0.07659007477760314,1.813868613138686,0.0005942528368905187,
88,89,37184,346.34000000000003,348.74," So this is, I'll even put a star on the other side.","[50364, 407, 341, 307, 11, 286, 603, 754, 829, 257, 3543, 322, 264, 661, 1252, 13, 50484]",0.0,-0.12076833156438974,1.858267716535433,0.0002974725794047117,
89,90,37184,348.74,349.94000000000005, So we should really remember this.,"[50484, 407, 321, 820, 534, 1604, 341, 13, 50544]",0.0,-0.12076833156438974,1.858267716535433,0.0002974725794047117,
90,91,37184,349.94000000000005,351.54, Now where does it come from?,"[50544, 823, 689, 775, 309, 808, 490, 30, 50624]",0.0,-0.12076833156438974,1.858267716535433,0.0002974725794047117,
91,92,37184,351.54,356.14000000000004, It comes from the cosine squared theta plus sine squared theta equals 1 identity.,"[50624, 467, 1487, 490, 264, 23565, 8889, 9725, 1804, 18609, 8889, 9725, 6915, 502, 6575, 13, 50854]",0.0,-0.12076833156438974,1.858267716535433,0.0002974725794047117,
92,93,37184,356.14000000000004,360.74, You can divide everything by cosine squared theta and get this one.,"[50854, 509, 393, 9845, 1203, 538, 23565, 8889, 9725, 293, 483, 341, 472, 13, 51084]",0.0,-0.12076833156438974,1.858267716535433,0.0002974725794047117,
93,94,37184,360.74,365.54," So we have this identity and so if you notice we're going to be able to manipulate,","[51084, 407, 321, 362, 341, 6575, 293, 370, 498, 291, 3449, 321, 434, 516, 281, 312, 1075, 281, 20459, 11, 51324]",0.0,-0.12076833156438974,1.858267716535433,0.0002974725794047117,
94,95,37184,365.54,369.24, we're going to be able to manipulate the expression right here,"[51324, 321, 434, 516, 281, 312, 1075, 281, 20459, 264, 6114, 558, 510, 51509]",0.0,-0.12076833156438974,1.858267716535433,0.0002974725794047117,
95,96,37184,369.24,371.84000000000003, and get the denominator to look like tangent squared theta.,"[51509, 293, 483, 264, 20687, 281, 574, 411, 27747, 8889, 9725, 13, 51639]",0.0,-0.12076833156438974,1.858267716535433,0.0002974725794047117,
96,97,39824,371.84000000000003,376.54, So let's do some of that work off to the right here.,"[50364, 407, 718, 311, 360, 512, 295, 300, 589, 766, 281, 264, 558, 510, 13, 50599]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
97,98,39824,376.54,377.64000000000004, So what did I say we needed?,"[50599, 407, 437, 630, 286, 584, 321, 2978, 30, 50654]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
98,99,39824,377.64000000000004,379.74," We have this expression, we need dx.","[50654, 492, 362, 341, 6114, 11, 321, 643, 30017, 13, 50759]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
99,100,39824,379.74,382.74," So let's find, actually no, let's find the denominator first","[50759, 407, 718, 311, 915, 11, 767, 572, 11, 718, 311, 915, 264, 20687, 700, 50909]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
100,101,39824,382.74,384.94000000000005, because I was just talking about it.,"[50909, 570, 286, 390, 445, 1417, 466, 309, 13, 51019]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
101,102,39824,384.94000000000005,387.64000000000004," So if I look at what x minus 4 squared is,","[51019, 407, 498, 286, 574, 412, 437, 2031, 3175, 1017, 8889, 307, 11, 51154]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
102,103,39824,387.64000000000004,390.24, I'm going to substitute in this expression.,"[51154, 286, 478, 516, 281, 15802, 294, 341, 6114, 13, 51284]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
103,104,39824,390.24,396.24," So x minus 4 squared minus 15 is the same as,","[51284, 407, 2031, 3175, 1017, 8889, 3175, 2119, 307, 264, 912, 382, 11, 51584]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
104,105,39824,396.24,398.24," based on this substitution,","[51584, 2361, 322, 341, 35827, 11, 51684]",0.0,-0.0904059349685102,1.6755555555555555,0.0009559569880366325,
105,106,42514,398.34000000000003,405.34000000000003," square root 15 secant theta squared minus 15,","[50369, 3732, 5593, 2119, 907, 394, 9725, 8889, 3175, 2119, 11, 50719]",0.0,-0.14411046036652156,1.6369426751592357,0.0011193014215677977,
106,107,42514,405.34000000000003,410.94," which is 15 secant squared theta minus 15,","[50719, 597, 307, 2119, 907, 394, 8889, 9725, 3175, 2119, 11, 50999]",0.0,-0.14411046036652156,1.6369426751592357,0.0011193014215677977,
107,108,42514,410.94,414.04," which just to hammer home the point,","[50999, 597, 445, 281, 13017, 1280, 264, 935, 11, 51154]",0.0,-0.14411046036652156,1.6369426751592357,0.0011193014215677977,
108,109,42514,414.04,419.74, is 15 times the quantity secant squared theta minus 1.,"[51154, 307, 2119, 1413, 264, 11275, 907, 394, 8889, 9725, 3175, 502, 13, 51439]",0.0,-0.14411046036652156,1.6369426751592357,0.0011193014215677977,
109,110,42514,419.74,421.64," Okay, everybody follows, hopefully.","[51439, 1033, 11, 2201, 10002, 11, 4696, 13, 51534]",0.0,-0.14411046036652156,1.6369426751592357,0.0011193014215677977,
110,111,42514,421.64,425.14, All I've done is the substitution I made,"[51534, 1057, 286, 600, 1096, 307, 264, 35827, 286, 1027, 51709]",0.0,-0.14411046036652156,1.6369426751592357,0.0011193014215677977,
111,112,45454,425.24,428.94, and then I started expanding or I squared this term,"[50369, 293, 550, 286, 1409, 14702, 420, 286, 8889, 341, 1433, 50554]",0.0,-0.08762861684997483,1.7053140096618358,0.00016233939095400274,
112,113,45454,428.94,431.24, and I factored out the 15.,"[50554, 293, 286, 1186, 2769, 484, 264, 2119, 13, 50669]",0.0,-0.08762861684997483,1.7053140096618358,0.00016233939095400274,
113,114,45454,431.24,433.84, And now let's go back to my start expression.,"[50669, 400, 586, 718, 311, 352, 646, 281, 452, 722, 6114, 13, 50799]",0.0,-0.08762861684997483,1.7053140096618358,0.00016233939095400274,
114,115,45454,433.84,437.44, What is secant squared theta minus 1?,"[50799, 708, 307, 907, 394, 8889, 9725, 3175, 502, 30, 50979]",0.0,-0.08762861684997483,1.7053140096618358,0.00016233939095400274,
115,116,45454,437.44,439.34, It's tangent squared theta.,"[50979, 467, 311, 27747, 8889, 9725, 13, 51074]",0.0,-0.08762861684997483,1.7053140096618358,0.00016233939095400274,
